name,name_english
屋外の雑音（人の足音メイン、ほか話し声や何かを引きづる音など）,"Outdoor ambient noise (mainly footsteps, with some talking and dragging sounds)"
屋外・道路沿いの音（主にエンジン音、人の会話、足音、クラクション、車の走行音、ブレーキ音など）,"Outdoor roadside sounds (mainly engine noise, conversations, footsteps, car horns, vehicle movement, braking sounds)"
建物内（レストラン？）の音（主に人の会話、食器の音、足音）,"Indoor sounds (restaurant?) (mainly conversations, clinking dishes, footsteps)"
場内アナウンス,Public announcement
電話の着信音,Telephone ringing
建物内での音（おもに人の話し声）,Indoor sounds (mainly human voices)
街頭（おもにパトカーか救急車の音、徐々に近づいきてから離れていく）,"Street sounds (mainly police car or ambulance sirens, gradually approaching then moving away)"
街頭（ずっと救急車の音、徐々に近づいきてから離れていく）,"Street sounds (continuous ambulance siren, gradually approaching then moving away)"
街中（道路沿い）での会話,Conversation on the street (along the road)
道路沿いで会話,Conversation by the roadside
話している後ろでトラック走り出す,Truck starting to drive off behind the conversation
外で会話,Conversation outdoors
鈴虫のような小さな鳴き声,Small chirping sound like a bell cricket
静かな物音,Quiet rustling sound
道路わきで鳥のような音,Bird-like sound by the roadside
走り去る音,Sound of something driving away
道路沿い,Along the road
街中駆け寄る足音,Running footsteps in the city
車の音,Car sound
人の足音,Human footsteps
高い音,High-pitched sound
サイレン重複,Overlapping sirens
サイレン街中,Sirens in the city
サイレン連射,Rapid-fire sirens
電車内,Inside a train
飛行機内,Inside an airplane
結合する音,Sound of joining or connecting
呼び鈴,Doorbell
音の響く混雑した場所,Reverberant crowded place
はっきりとした足音,Clear footsteps
ざわざわ,Murmuring noise
音の響く混雑した建物内,Reverberant crowded indoor space
強くはじく音,Sharp plucking sound
時計の針の強いような音,Loud ticking sound like a clock hand
無音,Silence
トイレ流す音,Toilet flushing sound
トイレ吸い込む音,Toilet suction sound
幹線道路沿い,Along a main road
大きなエンジン音　おおおんん,"Loud engine sound ""ooooonnn"""
渋滞中の道路,Road in traffic jam
大きなエンジン音,Loud engine sound
スタンプのような音,Stamp-like sound
ゲームのような音,Game-like sound
はめたときの音,Sound when fitted or snapped into place
なにかをたたくような音,Sound of hitting something
飛行機内　,Inside an airplane
強い衝撃音,Strong impact sound
なにかが回るような音,Sound of something spinning
雑踏・スーツケースを引く音,Crowd noise with suitcase dragging
紙のようなものが開く音,Sound of paper-like material being opened
口笛・雑踏,Whistling amid crowd noise
街中,City street sounds
サイレン色々混じる,Mixed sirens
パトカー,Police car
ウーーーン ウーーーン ウーーーン,"Wailing siren sound (""Woooon Woooon Woooon"")"
ファイリング,Filing (organizing documents)
建物の中,Inside a building
店内で歩く音,Footsteps inside a store
駅構内、電車入線,"Inside a station, train arriving"
ホームに到着,Arrival at platform
電車停車中,Train stopped
電車発車,Train departure
電車入線,Train arriving
船の中の音,Sounds inside a ship
道路わき　,Roadside
トラック止まる　,Truck stopping
地下鉄,Subway
電車が走る音,Sound of a train running
電車到着,Train arrival
電車発車後の駅構内,Inside the station after train departure
地下鉄止まる音,Sound of the subway stopping
駅アナウンス,Station announcement
地下鉄走り始める音,Sound of the subway starting to run
電車の中,Inside the train
人の歩く音メイン,Main sound of people walking
雑踏の音,Crowd noise
街中の人の話し声,People talking in the city
音楽とアナウンス,Music and announcements
雑踏の中の人の話し声,People talking within the crowd noise
モーター音,Motor sound
水を勢いよく出している音（徐々に弱まる）,Sound of water gushing out (gradually fading)
空気入れ,Air pump
水の波があたる音,Sound of water waves hitting
かたん　タンたん　かたん　タンたん,"Clank, tan-tan, clank, tan-tan (rhythmic metallic sounds)"
金属をはじくような音,Sound of metal being struck or flicked
車が目の前を走りすぎる音,Sound of a car rushing past right in front
しゅわーん　しゅわーん　がつがつ　かっかっ,"Swishing, swishing, chomping, clicking"
水の水滴が落ちたときの音,Sound of water droplets falling
水があふれるような音,Sound of water overflowing
食器がぶつかる音,Sound of dishes clashing
焚火と波の音,Sound of a campfire and waves
飛行機が近づく音,Sound of an approaching airplane
飛行機が爆発する音,Sound of an airplane exploding
吸う吐くの繰り返し,Repeated inhaling and exhaling
人が走るときの荒い呼吸,Heavy breathing while running
ゲームの音（打って命中すると水が流れるような音）※一定のリズム9回,"Game sound (water flowing sound when hitting, with a steady rhythm repeated 9 times)"
ゲームの音（打って命中すると水が流れるような音）※一定のリズム,"Game sound (water flowing sound when hitting, with a steady rhythm)"
ゲームの音（打って命中すると水が流れるような音）※不定期のリズム,"Game sound (water flowing sound when hitting, with an irregular rhythm)"
草むらに分け入るような音,Sound of pushing through tall grass
草むらをかき分けるような音,Sound of parting grass
霜柱の上を歩いているような音,Sound of walking on frost-covered ground
運動後の呼吸（徐々に弱まる）,Breathing after exercise (gradually weakening)
小刻みな激しい呼吸,"Rapid, intense breathing"
激しい呼吸から徐々に弱まる,Intense breathing gradually weakening
激しい呼吸,Intense breathing
トランプをきる音,Sound of shuffling cards
弦をはじく音,Sound of plucking a string
アコースティックギター,Acoustic guitar
太鼓をはじく音,Sound of striking a drum
きらきら星の演奏,"Performance of ""Twinkle, Twinkle, Little Star"""
長いケトル音,Long kettle sound
長い口笛,Long whistle
高い機械音,High-pitched mechanical sound
地下もぐる,Underground digging
トンネルの中,Inside a tunnel
地面をたたく音,Sound of tapping the ground
遠くの採掘音,Distant mining sounds
遠くの爆発音,Distant explosion sound
ときどき強く吐く音,Occasional strong exhalation sound
強く吐く音,Strong exhalation sound
ノック後はじく音,Sound of plucking after knocking
ピアノ重音,Piano chords
パイプオルガン,Pipe organ
飛行中,In flight
犬の鳴き声,Dog barking
気のドアを開ける音,Sound of opening a wooden door
金切り音,Screeching metal sound
金具の音,Sound of metal fittings
森に風が抜ける,Wind passing through the forest
空気を膨らませる音,Sound of air inflating
不快音,Unpleasant noise
輪廻,Reincarnation (cyclic sound)
微音,Faint sound
かなづち,Hammer
暴風,Storm
シンバル,Cymbals
たいこ,Drum
風,Wind
登場,Entrance (arrival)
案内,Guidance
風船がこすれるような音,Sound of a balloon rubbing
飛行音,Flying sound
秋の虫,Autumn insects
忍び寄る音,Sneaking sound
滝,Waterfall
夏虫,Summer insects
夏,Summer
発信,Transmission
鳥・すずむし,Birds and bell crickets
森・川,Forest and river
森の中,Inside the forest
波,Waves
マイクで風をキャッチ,Catching the wind with a microphone
カエル,Frog
アヒルのような鳴き声,Duck-like quacking
大雨と風,Heavy rain and wind
雨と地面にあたる音,Rain hitting the ground
大雨,Heavy rain
夏の虫たちの音,Sounds of summer insects
夏の虫,Summer insects
雷鳴,Thunderclap
雨と雷鳴,Rain and thunderclap
川の水と蝉の音,River water and cicada sounds
水が流れる音,Flowing water
遠くで鳴る雷,Distant thunder
雨の日の道路,Road on a rainy day
遠くで鳴る雷?,Distant thunder
雨?,Rain
雨と雨が地面に落ちる音,Sound of raindrops falling on the ground
鳥と虫の声,Voices of birds and insects
水が流れる音とカラスの声,Sound of flowing water and crows cawing
雨嵐,Rainstorm
雨が打ちつける音,Sound of rain striking a surface
風と雨が打ちつける音,Sound of wind and rain hitting
風と雨,Wind and rain
人がいる海辺,Seaside with people
水辺で蝉が鳴いている,Cicadas singing by the water
カラスと蝉の声,Voices of crows and cicadas
鳥と蝉の声,Voices of birds and cicadas
蝉,Cicadas
雨と水が地面に落ちる音,Sound of rain and water falling on the ground
木が風に揺られる音,Sound of trees swaying in the wind
出囃子?,Entrance music (festival or theatrical)
金物を使った出囃子?,Entrance music using metal percussion
チェンバロ?,Harpsichord
ティンパニー,Timpani
トランペット,Trumpet
トランペット?,Trumpet?
サンバのパーカッション,Samba percussion
シンセサイザー,Synthesizer
打楽器(木製),Percussion (wooden)
打楽器(金属製?),Percussion (metal?)
打楽器(木製?),Percussion (wooden?)
打楽器(金属製),Percussion (metal)
何かを叩いた音,Sound of something being struck
オルガン,Organ
オルガンで演奏される曲,Song played on an organ
ストリングス,Strings
ベース?,Bass?
鉄琴?,Metallophone?
遠くの轟音,Distant rumbling sound
車がバックする時の音,Sound of a car reversing
サイドブレーキを引く,Handbrake being pulled
ベルトを外す音,Sound of a belt being unfastened
車のアラーム,Car alarm
車が通りすぎる音,Sound of a car passing by
モノレールの音,Sound of a monorail
車を運転して曲がるまで,Sound from driving a car until turning
飛行機の安定飛行中,Sound of an airplane in stable flight
モーター音?,Motor sound?
車のエンジンがかかる,Car engine starting
鍵を回す,Turning a key
車のアラーム音,Car alarm sound
スイッチを押す,Pressing a switch
車の窓の開閉音,Car window opening/closing sound
スイッチを離す,Releasing a switch
ワイパーが動いている音,Sound of windshield wipers moving
爆発音?,Explosion sound?
ロケットが発射したような音,Sound like a rocket launch
歯磨き,Brushing teeth
床を歩く,Walking on the floor
木の床を裸足で歩く,Walking barefoot on a wooden floor
心臓の鼓動の音,Sound of a heartbeat
歩く音,Footsteps
男性の咳,Male cough
走る足音?,Running footsteps?
夏の虫の声と土の道を走る足音,Voices of summer insects and footsteps running on a dirt path
夏の虫の声と道を走る足音,Voices of summer insects and footsteps running on a path
木造階段を裸足で降りる音,Sound of bare feet descending wooden stairs
土の上を歩く音,Sound of walking on dirt
夏の虫の声と道を歩くおと,Voices of summer insects and footsteps walking on a path
木製の物を叩く音,Sound of striking wooden objects
落ち葉を踏みながら歩く,Walking while stepping on fallen leaves
風と箒で掃く音,Sound of wind and sweeping with a broom
床を歩く音,Sound of walking on a floor
土を掘るような音,Sound of digging into soil
箒で掃くような音,Sound of sweeping with a broom
女性が咳をする音,Sound of a woman coughing
鳥の鳴き声,Bird calls
猫の鳴き声,Cat meowing
豚の鳴き声,Pig grunting
猫?の鳴き声,Cat? meowing
電子音？,Electronic sound?
カラスの声,Crow cawing
鳥の声?,Bird calls?
多くのアヒル？オットセイ？の声,Voices of many ducks? or sea lions?
アヒル？オットセイ？の声,Voice of a duck? or a sea lion?
オットセイ？の声,Voice of a sea lion?
フクロウの鳴き声,Owl's hoot
犬の唸り声,Dog's growl
犬の喘ぎ声,Dog's panting
犬の吠える声,Dog's bark
犬のため息,Dog's sigh
犬が吠える声,Dog barking
ウグイス,Japanese bush warbler (Uguisu)
人の話し声とアナウンス,Human voices and announcements
空港のアナウンスと人々の声,Airport announcements and crowd noise
街の中を車やバイクが走る音,Sounds of cars and motorcycles driving through the city
街中の車や人の足音、話し声,"City sounds of cars, footsteps, and conversations"
街中の車や人の足音,City sounds of cars and footsteps
街の雑踏,City bustle
人の話し声と車の音,Human voices and car sounds
人の話し声と生活音,Human voices and household sounds
川の音といろんな鳥のさえずり,River sounds and various birds chirping
いろんな鳥のさえずり,Various birds chirping
鳥のさえずりとヤギの声,Birds chirping and goat sounds
カエル?の鳴き声,Frog croaking
外国人が複数人同時にひそひそ話す,Multiple foreigners whispering simultaneously
外国人女性のひそひそ話す声,Foreign woman whispering
外国人の男性の会話,Foreign man’s conversation
街中で外国人の男性たちの会話,Foreign men talking in the city
街中で外国人の男女複数の会話,Multiple foreign men and women talking in the city
町の中の雑音,Ambient noise in town
外国人の男性たちの会話,Foreign men’s conversation
電車が止まる音,Sound of a train stopping
空気が抜ける音,Sound of air escaping
ドアの開閉音,Door opening and closing sound
電車が走っているような音,Sound like a train running
ブレーキ音,Brake sound
ドアの開閉オン,Door opening and closing sound
ドアが閉まるような音,Sound of a door closing
電車が走っている音,Sound of a train running
電車が通り過ぎるような音,Sound of a train passing by
車の音と街の雑踏,Car sounds and city bustle
プロペラ機が通り過ぎる音,Sound of a propeller plane passing by
ラジオ(人の声),Radio (human voices)
ラジオのチューニング,Radio tuning sound
男性が歌う曲,Song sung by a male
水の中の空気の音,Sound of air bubbles in water
バイクのエンジンをふかす,Revving a motorcycle engine
時計の秒針のような音,Sound like a clock’s second hand
ラジオのノイズ,Radio static noise
女性の歌声,Female singing voice
鼓動音,Heartbeat sound
?,?
飛行機が通る音,Sound of an airplane passing by
飛行機が着陸した音,Sound of an airplane landing
バイクのエンジン音,Motorcycle engine sound
車のエンジン音,Car engine sound
雷,Thunder
動物の鳴き声のような音,Animal-like vocal sound
笑い声,Laughter
うめき声,Groaning sound
強い風,Strong wind
重いものが地面を叩くような音,Sound of a heavy object hitting the ground
何か固いものを削る音,Sound of scraping a hard object
咀嚼音,Chewing sound
遠くで太鼓が鳴っている,Distant sound of a drum
何か動物の声,Some kind of animal vocalization
バイクの排気音,Motorcycle exhaust sound
呼吸,Breathing
息を吸う音,Sound of inhaling breath
泥を踏むような音,Sound of stepping on mud
カスタネットような音,Castanet-like sound
コインが機械に入る音,Sound of a coin entering a machine
カフェでの店員さんの声,Voice of a café staff member
車,Car
ドアが閉まる,Door closing
自販機にお金を入れる,Inserting money into a vending machine
自販機から飲みものが出てくる,Drink dispensing from a vending machine
自転車を漕ぐ音,Sound of pedaling a bicycle
靴の音,Footsteps
波の音（波打ち際？）,Sound of waves (at the shoreline)
街の雑踏（話し声）,City crowd noise (people talking)
自転車のブレーキ,Bicycle brake sound
自動車のエンジンをかける音,Car engine starting sound
（街のどこかの音）,(Sound from somewhere in the city)
何かの電子音,Some kind of electronic beep
（何かが通り過ぎる音？）,(Sound of something passing by?)
カチャッ,Click
（何かの機械が一定のリズムで動いている音？）,(Sound of a machine operating at a steady rhythm?)
何かサイレンの音（消防車？）,Some kind of siren sound (fire truck?)
何かサイレンの音（消防車？複数台）,Some kind of siren sound (fire trucks? multiple vehicles)
スーパーなどのレジ付近の音（話し声、店員の声、レジ打ちの音）,"Sounds near a supermarket register (voices, cashier talking, register beeping)"
掃除機の音（何かを吸引する音？）,Vacuum cleaner sound (suction noise?)
水（液体）がシンクなどに流れている音,Sound of water flowing into a sink or similar
（油で何かを揚げる音？）,(Sound of something frying in oil?)
車が通り過ぎる音,Sound of a car passing by
スーパーなどの店内の音（話し声、レジの音、店内BGM）,"Inside supermarket sounds (voices, register beeps, background music)"
店の自動ドアが開くときの電子音,Electronic beep when a store’s automatic door opens
スーパーなどの店内の音（話し声、店員の掛け声）,"Inside supermarket sounds (voices, staff calling out)"
街の音,City sounds
賑やかで音がうるさい場所の音（パチンコ？ゲームセンター？）,Noisy and lively place sounds (pachinko parlor? arcade?)
道路もしくは車両が動いている場所の音,Sounds from a road or moving vehicles
（車がバックするときの音？）,(Sound of a car reversing?)
車（トラック）のエンジン音,Engine sound of a truck
何かの店舗内の音（銀行？）,Sounds inside a store (bank?)
順番が回ってきたことを知らせる窓口案内のアナウンスの音と声,Announcement sound and voice notifying that it is your turn at a service counter
（雨の音？）,(Sound of rain?)
何かの店舗内もしくは街の販売所などの近くの音（「いらっしゃいませ」の掛け声）,"Sounds near a store or street vendor (calls of ""Welcome!"")"
車道を車が走る音,Sound of cars driving on the road
横断歩道の信号のアナウンスの声,Voice announcement at a pedestrian crossing signal
笛の音（和笛？）,Flute sound (Japanese flute?)
横断歩道の近くの雑踏の音（車の音、人の声、足音）,"Crowd noise near a pedestrian crossing (car sounds, voices, footsteps)"
横断歩道の信号機の盲者用の合図音,Audible signal for visually impaired at a pedestrian crossing signal
スーツケースのようなものを転がしている音,Sound of rolling a suitcase or similar luggage
横断歩道の近くの雑踏の音（車の音、人の声、自転車のブレーキ音、足音）,"Crowd noise near a pedestrian crossing (car sounds, voices, bicycle brake sounds, footsteps)"
横断歩道の信号機の盲者用のメロディー（とおりゃんせ）,"Melody for visually impaired at a pedestrian crossing signal (""Tooryanse"")"
横断歩道の信号機の盲者用のメロディー（曲名不明）,Melody for visually impaired at a pedestrian crossing signal (unknown song)
街の雑踏（車道の近く）,Street crowd noise (near the roadway)
道路の音（車の走る音）,Road noise (sound of cars driving)
サイレン（時報？）,Siren (time signal?)
雑踏（人混み、屋内か屋外か不明）,"Crowd noise (indoor or outdoor, unclear)"
（歓声？）,(Cheering?)
観衆がいる場所の音,Sounds of a place with an audience
（導火線に火が付く音？）,(Sound of a fuse being lit?)
ざわめき,Murmuring noise
劇場などのブザーの音？,Buzzer sound in a theater or similar venue?
ざわめきと歓声と拍手,"Murmuring, cheers, and applause"
屋内の大人数のざわめき,Indoor crowd murmur
屋内の大人数のざわめき（大人と子供の声）,Indoor crowd murmur (voices of adults and children)
ざわめき（人の話し声）,Murmuring (people talking)
打ち上げ花火の音,Sound of fireworks launching
連続した打ち上げ花火の音,Continuous sound of fireworks launching
人の話し声,People talking
子供の声,Children’s voices
ざわめき、人の声、歓声,"Murmuring, voices, and cheers"
ざわめき、人の声,Murmuring and voices
相撲会場の音（ざわめき）,Sound of a sumo arena (murmuring)
拍子木の音,Sound of wooden clappers (hyoshigi)
呼び出しの声,Calling out voice
女性の観客の掛け声,Female audience cheers
行司の声,Referee’s voice (sumo official)
雑踏（人の声、足音）,Bustling crowd (voices and footsteps)
野球場の音（人の声、応援、手拍子、掛け声）,"Baseball stadium sounds (voices, cheering, clapping, shouting)"
ビール売りの声,Beer vendor’s call
応援ソングの演奏,Performance of a cheer song
応援歌の演奏,Performance of a cheering anthem
何かを叩く音（プラスティックのメガホン？）,Sound of something being struck (plastic megaphone?)
歓声、何かを叩く音,Cheers and sound of something being struck
野球場の音（人の声、応援、掛け声、歓声）,"Sounds of a baseball stadium (people’s voices, cheering, shouts, applause)"
大人数の子供の賑やかな声,Noisy voices of a large group of children
人の掛け声,People shouting encouragement
何かの競技の会場の音（掛け声、歓声）,"Sounds of a sports event venue (shouts, cheers)"
大きな歓声と拍手,Loud cheers and applause
ざわめき（大人数の人の声）,Murmuring (voices of a large crowd)
何かを販売している場所の賑やかな音（人の声、売り子の声）,"Bustling sounds of a marketplace (people talking, vendors calling out)"
ドアが閉まる時のアナウンスの声（「ドアが閉まります、ご注意ください」、電車？）,"Announcement voice when a door is closing (“The door is closing, please be careful,” train?)"
発車のアナウンスの声（「発車します」）,Departure announcement (“The train is departing”)
発車の合図の音,Departure signal sound
工場？のような音,Sounds like a factory
（手持ち花火の音？）,(Sound of handheld fireworks?)
（花火を打ち上げる音？）,(Sound of fireworks being launched?)
ざわめき（相撲会場）,Murmuring (sumo arena)
取り組み中の行司の声,Referee’s voice during a sumo match
歓声、拍手、掛け声（相撲会場）,"Cheers, applause, and shouts (sumo arena)"
場内アナウンスの声,Announcer's voice inside the venue
拍手、歓声、掛け声,"Applause, cheers, and shouts"
何かが近づいたり遠ざかったりする音？（ジェットコースター）,Sound of something approaching and receding (roller coaster)
何かが通り過ぎる音？（ジェットコースター？）,Sound of something passing by (roller coaster?)
バンザイの掛け声,"Shout of ""Banzai"" (cheer)"
大人数の話声,Voices of a large crowd talking
複数の金管楽器を演奏する音,Sound of multiple brass instruments playing
歓声と拍手（相撲会場）,Cheers and applause (sumo arena)
機械で作られた音、電子音？,"Mechanically produced sound, electronic tone?"
機械で作られたような音,Mechanically produced sound
機械で作られた不規則な音,Irregular mechanical sound
叩く音？何かが落ちるような音？響く音,Hitting sound? Sound of something falling? Resonant sound
ノイズような音,Noise-like sound
サイレンぽい音,Siren-like sound
機械音？サイレン？警笛？,Mechanical sound? Siren? Whistle?
機械音？車輪音？,Mechanical sound? Wheel sound?
機械音？,Mechanical sound?
発砲音？,Gunshot sound?
ノイズのような音,Noise-like sound
機械で作られた音、サイレン？,"Mechanically produced sound, siren?"
段々と音階が低くなり、速さは遅くなっていく、機械で作られた音、電子音？,"Gradually lowering pitch and slowing speed, machine-made sound, electronic tone?"
段々と音階が高くなり、速さも速くなっていく、機械で作られた音、電子音？,"Gradually rising pitch and increasing speed, machine-made sound, electronic tone?"
工場か作業場のような場所でのモーター音、金属音,Motor and metal sounds in a factory or workshop setting
機械で叩く音？掘る音？,Sound of a machine hammering? Digging sound?
何かを叩く音？,Sound of something being struck?
機械音、繰り返し,Repetitive machine noise
機械音、切断？,"Machine noise, cutting?"
道路を車やバイクが走り過ぎる音,Sound of cars and motorcycles passing on the road
道路を車が走り過ぎる音,Sound of cars passing on the road
工事現場の音？,Construction site sounds?
工事現場などで機械で地面を繰り返し掘る音？ドリル音？,Repetitive ground digging or drilling sound by machinery at a construction site?
機械を使って何かの作業を繰り返している音？切断音？,Repetitive machine operation sound? Cutting sound?
機械を使って何かの作業をしている音？,Sound of a machine performing some kind of work
機械を使って何かの作業を繰り返している音？,Repetitive sound of a machine performing some kind of work
機械で地面を掘る音？ドリル音？,Sound of a machine digging into the ground? Drilling sound?
金属を切断する音,Sound of metal being cut
金属の機械音？,Metallic machine noise?
機械のモーター音？,Machine motor sound?
機械音？切断している？,Machine noise? Cutting sound?
何かの機械か道具の音？,Sound of some kind of machine or tool?
機械で穴を開けている？ドリル音？,Drilling sound from a machine?
バイクの走る音（エンジンをふかす音？）,Sound of a motorcycle running (engine revving?)
（バイクのモーター音？）,(Motorcycle engine sound?)
車が何台も走り過ぎていく音,Sound of multiple cars driving past
車の通行音,Sound of passing cars
（車が何台も走り過ぎていく音？）,(Sound of multiple cars driving past?)
機械音、金属を切断している？,"Machine noise, cutting metal?"
金属音、機械の音？物を積んだり降ろしたりしている？,"Metal sound, machine noise? Loading or unloading objects?"
何かの機械が動いている金属音,Metal sound of a machine operating
何かの機械が何かの動作を繰り返している音,Sound of a machine repeating some action
工場か作業場のような場所で何かの機械が動いている音,Sound of a machine running in a factory or workshop-like place
工場か作業場のような場所での金属音,Metal sounds in a factory or workshop-like place
工場か作業場のような場所で色々な機械が動いている音,Sounds of various machines operating in a factory or workshop-like place
金属音？金属を叩く音？,Metal sound? Sound of metal being struck?
（車が走り過ぎていく音？）,(Sound of a car driving past?)
道路を車両（車、トラック、バイクなど）が何台も走り過ぎている,"Multiple vehicles (cars, trucks, motorcycles, etc.) driving past on a road"
車のエンジン音？,Car engine sound?
ブレーキ音？,Brake sound?
（高速もしくはトンネルでの車の音？）,(Sound of cars on a highway or in a tunnel?)
（車の音？）,(Car sound?)
（車がバックする時の音？）,(Sound of a car reversing?)
信号の盲者用の音,Audible signal for visually impaired pedestrians
（車の走る音？）,(Sound of a car driving by?)
金属系の素材のフェンスなどの入り口の取っ手を開けて閉める（取っ手を上に上げて下ろす）,Opening and closing a metal gate handle (lifting and lowering the handle)
シャッターを閉める（シャッターを下ろす）,Closing a shutter (pulling the shutter down)
